ProgramID,ProgramName,Semester,CourseCode,CourseTitle,CreditHours,PreReq
1,BS in Computer Science,Semester-1,CMPC-5201,Programming Fundamentals,4,
1,BS in Computer Science,Semester-1,URCA-5123,Application of Information & Communication Technologies,3,
1,BS in Computer Science,Semester-1,URCQ-5101,Discrete Structures,3,
1,BS in Computer Science,Semester-1,URCQ-5102,Calculus and Analytic Geometry,3,
1,BS in Computer Science,Semester-1,URCE-5118,Functional English,3,
1,BS in Computer Science,Semester-1,BUSB-6101,Introduction to Marketing,3,
1,BS in Computer Science,Semester-2,CMPC-5202,Object Oriented Programming,4,CMPC-5201
1,BS in Computer Science,Semester-2,CMPC-5203,Database Systems,4,
1,BS in Computer Science,Semester-2,CMPC-5204,Digital Logic Design,3,
1,BS in Computer Science,Semester-2,MATH-5101,Multivariable Calculus,3,URCQ-5102
1,BS in Computer Science,Semester-2,CMPC-5208,Computer Networks,4,
1,BS in Computer Science,Semester-2,URQC-5111,Translation of Holy Quran-I,0,
1,BS in Computer Science,Semester-3,CMPC-5205,Data Structures,4,CMPC-5204
1,BS in Computer Science,Semester-3,CMPC-5209,Computer Org. & Assembly Language,3,CMPC-5204
1,BS in Computer Science,Semester-3,CMPC-5207,Artificial Intelligence,3,
1,BS in Computer Science,Semester-3,MATH-5102,Linear Algebra,3,MATH-5101
1,BS in Computer Science,Semester-3,CMPC-5101,Software Engineering,3,
1,BS in Computer Science,Semester-3,MATH-5103,Probability & Statistics,3,
1,BS in Computer Science,Semester-4,CMPC-5206,Information Security,3,
1,BS in Computer Science,Semester-4,CSDC-5101,Theory of Automata,3,
1,BS in Computer Science,Semester-4,CSDC-5102,Advance Database Management Sys.,3,CSDC-5102
1,BS in Computer Science,Semester-4,URCI-5105,Islamic Studies/ Ethics,2,
1,BS in Computer Science,Semester-4,URCW-5201,Applied Physics,3,
1,BS in Computer Science,Semester-4,URCE-5119,Expository Writing,3,
1,BS in Computer Science,Semester-4,URCQ-5111,Translation of Holy Quran-II,0,
1,BS in Computer Science,Semester-5,CMPC-6201,Operating Systems,3,
1,BS in Computer Science,Semester-5,CSDC-6201,HCI & Computer Graphics,3,
1,BS in Computer Science,Semester-5,CSDC-6202,Computer Architecture,3,CMPC-5204
1,BS in Computer Science,Semester-5,xxxx-yyyy,Domain Elective 1,3,
1,BS in Computer Science,Semester-5,xxxx-yyyy,Domain Elective 2,3,
1,BS in Computer Science,Semester-5,URCA-5101,Introduction to Management,2,
1,BS in Computer Science,Semester-6,CSDC-6203,Compiler Construction,3,
1,BS in Computer Science,Semester-6,ITDC-6204,Parallel and Distributed Computing,3,
1,BS in Computer Science,Semester-6,xxxx-yyyy,Domain Elective 3,3,
1,BS in Computer Science,Semester-6,xxxx-yyyy,Domain Elective 4,3,
1,BS in Computer Science,Semester-6,xxxx-yyyy,Domain Elective 5,3,
1,BS in Computer Science,Semester-6,xxxx-yyyy,Domain Elective 6,3,
1,BS in Computer Science,Semester-6,URCQ-5111,Translation of Holy Quran-III,0,
1,BS in Computer Science,Semester-7,CMPC-6702,Final Year Project - 1,2,
1,BS in Computer Science,Semester-7,CSDC-5204,Cryptography and Network Security (Elective),3,
1,BS in Computer Science,Semester-7,xxxx-yyyy,Domain Elective 7,3,
1,BS in Computer Science,Semester-7,ENGL-6101,Technical and Business Writing,3,URCE-5118
1,BS in Computer Science,Semester-7,URCE-5124,Entrepreneurship,2,
1,BS in Computer Science,Semester-8,CMPC-6703,Final Year Project - 2,4,CMPC-6702
1,BS in Computer Science,Semester-8,URCI-5122,Ideology and Constitution of Pakistan,2,
1,BS in Computer Science,Semester-8,URCS-6101,Professional Practices,2,
1,BS in Computer Science,Semester-8,URCC-5125,Civics and Community Engagement,2,
1,BS in Computer Science,Semester-8,URCQ-5111,Translation of Holy Quran - IV,1,
